"Country","ISO","Sex","Year_of_birth","Mean_height","Mean_height_lower_95perc","Mean_height_upper_95perc"
"Brazil","BRA","Men",1896,163.213567,160.7956154,165.6625892
"Brazil","BRA","Men",1897,163.3087557,161.029938,165.6298994
"Brazil","BRA","Men",1898,163.4042513,161.243163,165.6073897
"Brazil","BRA","Men",1899,163.4995045,161.4754612,165.5754179
"Brazil","BRA","Men",1900,163.5947482,161.6909124,165.5618103
"Brazil","BRA","Men",1901,163.6903951,161.877228,165.5416075
"Brazil","BRA","Men",1902,163.7864296,162.0803881,165.5164147
"Brazil","BRA","Men",1903,163.8827002,162.2787618,165.5084208
"Brazil","BRA","Men",1904,163.9779878,162.4667076,165.5194838
"Brazil","BRA","Men",1905,164.0731421,162.6334052,165.5223939
"Brazil","BRA","Men",1906,164.1678707,162.7939842,165.5572454
"Brazil","BRA","Men",1907,164.2622664,162.9577418,165.5722361
"Brazil","BRA","Men",1908,164.3573934,163.1212142,165.6139628
"Brazil","BRA","Men",1909,164.4530824,163.2703253,165.6581425
"Brazil","BRA","Men",1910,164.549972,163.4307784,165.699268
"Brazil","BRA","Men",1911,164.6487843,163.5758752,165.7420687
"Brazil","BRA","Men",1912,164.7499118,163.7238845,165.7941506
"Brazil","BRA","Men",1913,164.8531393,163.8585222,165.8564226
"Brazil","BRA","Men",1914,164.9581481,163.9986499,165.932665
"Brazil","BRA","Men",1915,165.0649762,164.1310387,166.001044
"Brazil","BRA","Men",1916,165.173604,164.2659974,166.0823468
"Brazil","BRA","Men",1917,165.284823,164.4081981,166.1775562
"Brazil","BRA","Men",1918,165.3979855,164.5458242,166.2677217
"Brazil","BRA","Men",1919,165.5121502,164.6771269,166.3630181
"Brazil","BRA","Men",1920,165.6271986,164.8002234,166.4587706
"Brazil","BRA","Men",1921,165.7426248,164.9236431,166.5582637
"Brazil","BRA","Men",1922,165.8574898,165.0480645,166.6663492
"Brazil","BRA","Men",1923,165.9707458,165.1751493,166.7762611
"Brazil","BRA","Men",1924,166.0833987,165.2972591,166.8737439
"Brazil","BRA","Men",1925,166.1967045,165.4146938,166.974947
"Brazil","BRA","Men",1926,166.311583,165.5394681,167.0897298
"Brazil","BRA","Men",1927,166.4291327,165.6562458,167.2037145
"Brazil","BRA","Men",1928,166.5481903,165.7751382,167.3107116
"Brazil","BRA","Men",1929,166.6678175,165.9104592,167.4191456
"Brazil","BRA","Men",1930,166.7867482,166.0350979,167.5322361
"Brazil","BRA","Men",1931,166.9030247,166.1623244,167.6492741
"Brazil","BRA","Men",1932,167.0155939,166.2738167,167.7571357
"Brazil","BRA","Men",1933,167.1250177,166.3808586,167.8535277
"Brazil","BRA","Men",1934,167.2314832,166.4935491,167.9545133
"Brazil","BRA","Men",1935,167.3365861,166.6037975,168.0595022
"Brazil","BRA","Men",1936,167.4411455,166.7075157,168.154358
"Brazil","BRA","Men",1937,167.5452655,166.8233035,168.2533839
"Brazil","BRA","Men",1938,167.6492162,166.932493,168.3501645
"Brazil","BRA","Men",1939,167.7532531,167.0441139,168.4573971
"Brazil","BRA","Men",1940,167.8581453,167.1509719,168.5601546
"Brazil","BRA","Men",1941,167.9648132,167.2573812,168.6679294
"Brazil","BRA","Men",1942,168.0734503,167.3689756,168.7748047
"Brazil","BRA","Men",1943,168.1848685,167.4885964,168.8863621
"Brazil","BRA","Men",1944,168.2984357,167.6001492,169.0045249
"Brazil","BRA","Men",1945,168.4133226,167.7172966,169.1156807
"Brazil","BRA","Men",1946,168.5290442,167.8421223,169.2286374
"Brazil","BRA","Men",1947,168.6440637,167.951132,169.3386691
"Brazil","BRA","Men",1948,168.7581217,168.0711498,169.4557219
"Brazil","BRA","Men",1949,168.8699939,168.1761642,169.5660338
"Brazil","BRA","Men",1950,168.978157,168.2905665,169.6697166
"Brazil","BRA","Men",1951,169.0815617,168.4002984,169.7712598
"Brazil","BRA","Men",1952,169.1791386,168.4947781,169.8706734
"Brazil","BRA","Men",1953,169.2707663,168.5891335,169.9557163
"Brazil","BRA","Men",1954,169.3577451,168.6732998,170.0383662
"Brazil","BRA","Men",1955,169.4403367,168.7532568,170.1207549
"Brazil","BRA","Men",1956,169.519324,168.8278511,170.195399
"Brazil","BRA","Men",1957,169.598086,168.907669,170.2639866
"Brazil","BRA","Men",1958,169.6787928,168.991663,170.3484862
"Brazil","BRA","Men",1959,169.7618535,169.0752587,170.4393297
"Brazil","BRA","Men",1960,169.8481171,169.1665497,170.5235499
"Brazil","BRA","Men",1961,169.938446,169.2615517,170.6113876
"Brazil","BRA","Men",1962,170.0316455,169.3655376,170.6961348
"Brazil","BRA","Men",1963,170.1261678,169.4647768,170.7900996
"Brazil","BRA","Men",1964,170.2208705,169.5698856,170.878061
"Brazil","BRA","Men",1965,170.3155797,169.6622098,170.9749572
"Brazil","BRA","Men",1966,170.410909,169.7639756,171.0694847
"Brazil","BRA","Men",1967,170.5078698,169.8597793,171.1630293
"Brazil","BRA","Men",1968,170.6082867,169.9610002,171.2634093
"Brazil","BRA","Men",1969,170.7140663,170.0678412,171.3588927
"Brazil","BRA","Men",1970,170.8264846,170.1820446,171.4699021
"Brazil","BRA","Men",1971,170.945451,170.3105396,171.5816478
"Brazil","BRA","Men",1972,171.0710281,170.4373858,171.7053087
"Brazil","BRA","Men",1973,171.2012605,170.5602932,171.8410333
"Brazil","BRA","Men",1974,171.3332982,170.6956409,171.9720519
"Brazil","BRA","Men",1975,171.4647745,170.8222767,172.0996278
"Brazil","BRA","Men",1976,171.5931305,170.951676,172.2307032
"Brazil","BRA","Men",1977,171.7166309,171.0817794,172.365348
"Brazil","BRA","Men",1978,171.8349208,171.1961517,172.4807346
"Brazil","BRA","Men",1979,171.9480645,171.3065722,172.5934721
"Brazil","BRA","Men",1980,172.0571863,171.4171552,172.6953307
"Brazil","BRA","Men",1981,172.163086,171.5222866,172.7919282
"Brazil","BRA","Men",1982,172.2667558,171.6260535,172.8840304
"Brazil","BRA","Men",1983,172.3677049,171.7435776,172.9841374
"Brazil","BRA","Men",1984,172.4656211,171.8391583,173.0781145
"Brazil","BRA","Men",1985,172.5608012,171.9316977,173.173381
"Brazil","BRA","Men",1986,172.6532798,172.011203,173.2783598
"Brazil","BRA","Men",1987,172.7412442,172.0938787,173.3736608
"Brazil","BRA","Men",1988,172.8261463,172.1705865,173.4749752
"Brazil","BRA","Men",1989,172.910602,172.2445667,173.5878396
"Brazil","BRA","Men",1990,172.9959969,172.3136141,173.6928017
"Brazil","BRA","Men",1991,173.0843677,172.3715976,173.8229913
"Brazil","BRA","Men",1992,173.1756564,172.4192877,173.9477547
"Brazil","BRA","Men",1993,173.2690593,172.4646404,174.0834727
"Brazil","BRA","Men",1994,173.3630643,172.5016182,174.2429311
"Brazil","BRA","Men",1995,173.4571371,172.5317414,174.3929747
"Brazil","BRA","Men",1996,173.5512114,172.5456651,174.5598061
"Brazil","BRA","Women",1896,150.1675257,147.983753,152.3589245
"Brazil","BRA","Women",1897,150.2830807,148.2191708,152.3669344
"Brazil","BRA","Women",1898,150.3986989,148.4572223,152.400102
"Brazil","BRA","Women",1899,150.5143363,148.6544781,152.4233371
"Brazil","BRA","Women",1900,150.6297713,148.8789132,152.4333284
"Brazil","BRA","Women",1901,150.7450634,149.0871684,152.4442212
"Brazil","BRA","Women",1902,150.860185,149.300354,152.4579326
"Brazil","BRA","Women",1903,150.974705,149.4916886,152.4868523
"Brazil","BRA","Women",1904,151.0881087,149.6895013,152.5124641
"Brazil","BRA","Women",1905,151.2006682,149.8710404,152.560772
"Brazil","BRA","Women",1906,151.3126123,150.0598657,152.6105536
"Brazil","BRA","Women",1907,151.4238714,150.2338252,152.6488881
"Brazil","BRA","Women",1908,151.5344878,150.4214265,152.6869149
"Brazil","BRA","Women",1909,151.6447307,150.5833078,152.744386
"Brazil","BRA","Women",1910,151.7553186,150.7381095,152.7832355
"Brazil","BRA","Women",1911,151.8671054,150.8817078,152.8519754
"Brazil","BRA","Women",1912,151.9805353,151.0268864,152.9375999
"Brazil","BRA","Women",1913,152.0964917,151.1677736,153.0251821
"Brazil","BRA","Women",1914,152.215019,151.3223838,153.1215241
"Brazil","BRA","Women",1915,152.336553,151.4630815,153.2192509
"Brazil","BRA","Women",1916,152.4613892,151.6069011,153.3167817
"Brazil","BRA","Women",1917,152.5901717,151.7577108,153.4269322
"Brazil","BRA","Women",1918,152.7220305,151.906685,153.5506595
"Brazil","BRA","Women",1919,152.8564128,152.0618792,153.6654647
"Brazil","BRA","Women",1920,152.993538,152.2041088,153.7942085
"Brazil","BRA","Women",1921,153.1322112,152.3526069,153.9160841
"Brazil","BRA","Women",1922,153.2708104,152.5022387,154.0432208
"Brazil","BRA","Women",1923,153.4088202,152.6476218,154.1803944
"Brazil","BRA","Women",1924,153.5464376,152.7894576,154.3114446
"Brazil","BRA","Women",1925,153.6848739,152.946493,154.4270302
"Brazil","BRA","Women",1926,153.8240536,153.0898512,154.5638552
"Brazil","BRA","Women",1927,153.9645639,153.2436749,154.6983642
"Brazil","BRA","Women",1928,154.1057778,153.3911456,154.8281403
"Brazil","BRA","Women",1929,154.247387,153.5381352,154.9534735
"Brazil","BRA","Women",1930,154.3880336,153.6891694,155.0897155
"Brazil","BRA","Women",1931,154.5253542,153.8237464,155.2200015
"Brazil","BRA","Women",1932,154.658789,153.9630501,155.3467705
"Brazil","BRA","Women",1933,154.78891,154.1008115,155.4669424
"Brazil","BRA","Women",1934,154.9165005,154.2389648,155.590247
"Brazil","BRA","Women",1935,155.042374,154.3648731,155.7052908
"Brazil","BRA","Women",1936,155.1669025,154.499457,155.8229061
"Brazil","BRA","Women",1937,155.2902477,154.6289809,155.9395812
"Brazil","BRA","Women",1938,155.4119488,154.7592531,156.054428
"Brazil","BRA","Women",1939,155.5306043,154.8808449,156.1654509
"Brazil","BRA","Women",1940,155.645719,154.9982593,156.2748416
"Brazil","BRA","Women",1941,155.7569363,155.1084886,156.3816339
"Brazil","BRA","Women",1942,155.8644111,155.2233292,156.4825491
"Brazil","BRA","Women",1943,155.9696275,155.3307185,156.5839629
"Brazil","BRA","Women",1944,156.0729712,155.4358171,156.6803056
"Brazil","BRA","Women",1945,156.1740762,155.5479406,156.7784657
"Brazil","BRA","Women",1946,156.2739342,155.6456725,156.8808944
"Brazil","BRA","Women",1947,156.373047,155.7482283,156.976016
"Brazil","BRA","Women",1948,156.4714591,155.8503663,157.0740837
"Brazil","BRA","Women",1949,156.5689948,155.9529807,157.1693569
"Brazil","BRA","Women",1950,156.6654391,156.0531962,157.2678992
"Brazil","BRA","Women",1951,156.7604495,156.1521917,157.3564462
"Brazil","BRA","Women",1952,156.853013,156.2515196,157.447591
"Brazil","BRA","Women",1953,156.9432833,156.3526718,157.5451039
"Brazil","BRA","Women",1954,157.0308518,156.444201,157.6346889
"Brazil","BRA","Women",1955,157.1176835,156.5318786,157.714356
"Brazil","BRA","Women",1956,157.2033817,156.6240288,157.7991623
"Brazil","BRA","Women",1957,157.2886094,156.7210834,157.8796079
"Brazil","BRA","Women",1958,157.3741208,156.8037674,157.9606882
"Brazil","BRA","Women",1959,157.4599294,156.8918121,158.0408359
"Brazil","BRA","Women",1960,157.5460733,156.9824913,158.120498
"Brazil","BRA","Women",1961,157.6324467,157.0710281,158.1959166
"Brazil","BRA","Women",1962,157.718841,157.1637821,158.2836494
"Brazil","BRA","Women",1963,157.8032068,157.2418394,158.3669309
"Brazil","BRA","Women",1964,157.8839754,157.3251381,158.4382789
"Brazil","BRA","Women",1965,157.9608067,157.4010965,158.5127447
"Brazil","BRA","Women",1966,158.0337509,157.4735925,158.5835945
"Brazil","BRA","Women",1967,158.1035816,157.5432102,158.6504428
"Brazil","BRA","Women",1968,158.17123,157.6113363,158.717587
"Brazil","BRA","Women",1969,158.2379839,157.6804059,158.7809501
"Brazil","BRA","Women",1970,158.3048354,157.7508622,158.8503518
"Brazil","BRA","Women",1971,158.3742229,157.8167333,158.9235211
"Brazil","BRA","Women",1972,158.4466426,157.8896334,159.0001095
"Brazil","BRA","Women",1973,158.5228027,157.968949,159.0697729
"Brazil","BRA","Women",1974,158.6022981,158.0501072,159.146979
"Brazil","BRA","Women",1975,158.6836656,158.1358431,159.227137
"Brazil","BRA","Women",1976,158.7659622,158.2189622,159.3041553
"Brazil","BRA","Women",1977,158.8489256,158.3001028,159.3816121
"Brazil","BRA","Women",1978,158.9327085,158.3861689,159.4705515
"Brazil","BRA","Women",1979,159.0181942,158.4706804,159.5567251
"Brazil","BRA","Women",1980,159.106673,158.5584699,159.642906
"Brazil","BRA","Women",1981,159.1989674,158.6535471,159.7311884
"Brazil","BRA","Women",1982,159.2957198,158.7485346,159.8326949
"Brazil","BRA","Women",1983,159.3970632,158.8428399,159.9387691
"Brazil","BRA","Women",1984,159.5022549,158.9499447,160.0483203
"Brazil","BRA","Women",1985,159.610285,159.0577152,160.1588954
"Brazil","BRA","Women",1986,159.7201095,159.1603524,160.2684091
"Brazil","BRA","Women",1987,159.8309362,159.2702422,160.3801151
"Brazil","BRA","Women",1988,159.9414628,159.3685673,160.5105042
"Brazil","BRA","Women",1989,160.0522157,159.469094,160.6307118
"Brazil","BRA","Women",1990,160.1635579,159.563896,160.7621438
"Brazil","BRA","Women",1991,160.276717,159.6495095,160.9041639
"Brazil","BRA","Women",1992,160.3918378,159.7289827,161.059487
"Brazil","BRA","Women",1993,160.5089462,159.8104188,161.2225098
"Brazil","BRA","Women",1994,160.626817,159.8788784,161.3870294
"Brazil","BRA","Women",1995,160.7451847,159.9456392,161.5633067
"Brazil","BRA","Women",1996,160.8635453,160.0039321,161.7539371
